function,max_memory,runtime
test_filter,320.0,0.832219123840332
test_filter,323.6640625,1.1965343952178955
test_filter,323.97265625,1.0179452896118164
test_filter,317.57421875,0.904043197631836
test_filter,322.984375,1.0162272453308105
calculate_total_counts,4420.36328125,458.5440239906311
calculate_total_counts,4383.66015625,443.4050295352936
calculate_total_counts,4301.31640625,450.08631920814514
calculate_total_counts,4303.0390625,445.3962960243225
calculate_total_counts,4328.84375,436.2287628650665
expression_normalize,56975.5625,10989.7789478302
expression_normalize,56984.36328125,10975.424200057983
expression_normalize,56982.69921875,10968.700612068176
expression_normalize,56973.34765625,11067.276867628098
expression_normalize,56912.76953125,10611.658974523691
expression_log,29935.0859375,12924.779385089874
expression_log,29841.1823698,12631.536298698214
expression_log,29793.1875927,12784.256398541231
expression_log,29885.3698569,12511.221236589701
expression_log,29611.1875969,12846.365520214589
filter_annsql_memory_backed_wrapper,856.91796875,173.93057417869568
filter_annsql_memory_backed_wrapper,867.375,136.70414400100708
filter_annsql_memory_backed_wrapper,739.28125,161.07166981697085
filter_annsql_memory_backed_wrapper,739.5,136.64000749588013
filter_annsql_memory_backed_wrapper,739.5,136.7939281463623
filter_annsql_memory_inmem_wrapper,368616.15369872,13.119202136993408
filter_annsql_memory_inmem_wrapper,368312.56879523,7.056031227111816
filter_annsql_memory_inmem_wrapper,368511.13698255,10.736992120742798
filter_annsql_memory_inmem_wrapper,368212.67185689,5.627200841903687
filter_annsql_memory_inmem_wrapper,368513.18236985,11.392663955688477
